Product_ID,Category,Subcategory,Fit,Color,Pattern,Material,Price,Product_Name,Rating,Description,Image_URL
P00001,Dress,Casual,Regular Fit,Navy,Checked,Polyester,2480,Navy Regular Fit Dress,3.8,Casual Dress with Regular Fit design in Navy. Checked pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00001.jpg
P00002,Jeans,Sports,Relaxed Fit,Grey,Printed,Blended,1140,Grey Relaxed Fit Jeans,3.9,Sports Jeans with Relaxed Fit design in Grey. Printed pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00002.jpg
P00003,Jeans,Casual,Regular Fit,Green,Striped,Blended,1280,Green Regular Fit Jeans,4.0,Casual Jeans with Regular Fit design in Green. Striped pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00003.jpg
P00004,Jacket,Sports,Regular Fit,Black,Floral,Cotton,2840,Black Regular Fit Jacket,4.0,Sports Jacket with Regular Fit design in Black. Floral pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00004.jpg
P00005,Shirt,Sports,Relaxed Fit,Yellow,Solid,Rayon,2060,Yellow Relaxed Fit Shirt,4.0,Sports Shirt with Relaxed Fit design in Yellow. Solid pattern made from Rayon. Suitable for everyday fashion and comfortable styling.,data/product_images/P00005.jpg
P00006,Jeans,Casual,Relaxed Fit,Grey,Printed,Denim,2790,Grey Relaxed Fit Jeans,4.1,Casual Jeans with Relaxed Fit design in Grey. Printed pattern made from Denim. Suitable for everyday fashion and comfortable styling.,data/product_images/P00006.jpg
P00007,Kurta,Ethnic,Relaxed Fit,Grey,Plain,Silk,3190,Grey Relaxed Fit Kurta,4.1,Ethnic Kurta with Relaxed Fit design in Grey. Plain pattern made from Silk. Suitable for everyday fashion and comfortable styling.,data/product_images/P00007.jpg
P00008,Kurta,Casual,Regular Fit,Pink,Striped,Silk,2740,Pink Regular Fit Kurta,4.2,Casual Kurta with Regular Fit design in Pink. Striped pattern made from Silk. Suitable for everyday fashion and comfortable styling.,data/product_images/P00008.jpg
P00009,Dress,Casual,Regular Fit,Brown,Floral,Cotton,1700,Brown Regular Fit Dress,4.2,Casual Dress with Regular Fit design in Brown. Floral pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00009.jpg
P00010,Skirt,Party,Relaxed Fit,Navy,Floral,Blended,1560,Navy Relaxed Fit Skirt,4.3,Party Skirt with Relaxed Fit design in Navy. Floral pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00010.jpg
P00011,Hoodie,Sports,Oversized,White,Solid,Polyester,2140,White Oversized Hoodie,4.4,Sports Hoodie with Oversized design in White. Solid pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00011.jpg
P00012,Skirt,Party,Regular Fit,Grey,Floral,Polyester,1200,Grey Regular Fit Skirt,4.4,Party Skirt with Regular Fit design in Grey. Floral pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00012.jpg
P00013,T-Shirt,Formal,Regular Fit,Red,Striped,Rayon,1000,Red Regular Fit T-Shirt,3.8,Formal T-Shirt with Regular Fit design in Red. Striped pattern made from Rayon. Suitable for everyday fashion and comfortable styling.,data/product_images/P00013.jpg
P00014,Kurta,Casual,Oversized,Black,Plain,Cotton,1160,Black Oversized Kurta,3.8,Casual Kurta with Oversized design in Black. Plain pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00014.jpg
P00015,Skirt,Casual,Regular Fit,Yellow,Checked,Rayon,2170,Yellow Regular Fit Skirt,3.9,Casual Skirt with Regular Fit design in Yellow. Checked pattern made from Rayon. Suitable for everyday fashion and comfortable styling.,data/product_images/P00015.jpg
P00016,Jacket,Casual,Regular Fit,Pink,Plain,Blended,4260,Pink Regular Fit Jacket,4.0,Casual Jacket with Regular Fit design in Pink. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00016.jpg
P00017,Skirt,Casual,Relaxed Fit,White,Floral,Polyester,1790,White Relaxed Fit Skirt,4.0,Casual Skirt with Relaxed Fit design in White. Floral pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00017.jpg
P00018,Skirt,Casual,Regular Fit,Green,Plain,Rayon,870,Green Regular Fit Skirt,4.0,Casual Skirt with Regular Fit design in Green. Plain pattern made from Rayon. Suitable for everyday fashion and comfortable styling.,data/product_images/P00018.jpg
P00019,Jeans,Casual,Regular Fit,Black,Floral,Denim,1180,Black Regular Fit Jeans,4.1,Casual Jeans with Regular Fit design in Black. Floral pattern made from Denim. Suitable for everyday fashion and comfortable styling.,data/product_images/P00019.jpg
